Year,Month,Temperature,Humidity,Rainfall,Wind Speed
1992,Jun,27.273,84.554,172.343,-0.335
1993,Jun,27.438,82.987,160.439,-0.111
1994,Jun,27.015,84.259,213.279,-0.709
1995,Jun,27.494,83.734,218.702,-0.287
1996,Jun,27.047,84.46,214.734,-0.521
1997,Jun,27.084,81.584,134.382,-1.18
1998,Jun,27.703,82.463,204.318,0.215
1999,Jun,26.921,82.337,196.283,-0.044
2000,Jun,26.789,83.945,225.547,-0.023
2001,Jun,27.202,82.53,158.19,0.395
2002,Jun,27.3,83.403,161.067,-0.45
2003,Jun,27.381,78.656,135.639,-1.489
2004,Jun,27.439,79.774,111.633,-0.054
2005,Jun,27.725,81.624,126.314,-0.226
2006,Jun,27.102,84.39,253.753,0.035
2007,Jun,27.35,85.645,244.263,-0.032
2008,Jun,27.056,84.163,227.266,-0.475
2009,Jun,27.654,82.6,155.347,-0.432
2010,Jun,27.686,83.522,211.428,0.435
2011,Jun,27.522,83.548,185.073,-0.44
2012,Jun,27.811,80.642,115.501,-0.586
2013,Jun,28.147,78.137,115.568,0.978
2014,Jun,28.302,82.032,173.335,-0.173
2015,Jun,27.789,82.858,164.076,-0.757
2016,Jun,27.765,82.363,149.692,0.023
2017,Jun,27.915,82.768,141.889,-0.334
2018,Jun,27.557,83.196,202.929,-0.199
2019,Jun,27.651,85.966,272.303,-0.645
2020,Jun,27.505,85.136,316.083,-0.401
2021,Jun,27.497,83.175,218.471,0.012
2022,Jun,27.146,83.147,255.968,0.476
1940,Jul,26.675,80.491,88.354,-1.353
1941,Jul,26.15,81.347,126.922,-1.369
1942,Jul,25.768,86.184,132.35,-0.644
1943,Jul,26.198,82.645,126.844,-0.936
1944,Jul,26.082,84.642,178.968,-0.397
1945,Jul,25.934,84.63,182.786,-0.577
1946,Jul,26.264,79.787,68.564,-1.812
1947,Jul,25.837,85.47,199.563,-0.698
1948,Jul,26.012,84.412,194.837,-0.922
1949,Jul,26.201,76.454,76.304,-0.716
1950,Jul,25.953,85.105,206.654,-0.45
1951,Jul,25.746,84.772,141.595,-0.929
1952,Jul,26.125,82.567,96.016,-0.812
1953,Jul,25.781,86.528,198.369,-1.224
1954,Jul,25.771,84.869,221.743,0.063
1955,Jul,26.05,84.597,160.996,0.593
1956,Jul,26.106,82.918,137.284,-0.002
1957,Jul,26.355,84.705,185.591,0.571
1958,Jul,26.97,82.049,84.381,-0.93
1959,Jul,26.429,83.286,112.715,-0.85
1960,Jul,26.161,83.065,156.685,-0.707
1961,Jul,26.123,81.277,89.731,-1.534
1962,Jul,26.469,80.785,91.886,-0.511
1963,Jul,26.213,80.617,117.338,-1.465
1964,Jul,25.669,85.991,272.673,-0.564
1965,Jul,26.119,82.759,97.938,-0.89
1966,Jul,26.04,85.074,182.552,-0.711
1967,Jul,26.239,83.927,141.284,-0.888
1968,Jul,26.386,83.726,138.323,0.932
1969,Jul,26.291,81.565,140.816,-0.955
1970,Jul,26.132,83.526,148.4,-0.431
1971,Jul,26.261,81.731,109.91,-0.351
1972,Jul,26.878,78.372,59.396,-1.678
1973,Jul,26.819,81.678,118.143,-0.383
1974,Jul,25.913,83.031,185.513,-0.457
1975,Jul,25.698,83.753,167.697,0.139
1976,Jul,26.071,82.59,155.802,-0.895
1977,Jul,26.325,83.857,172.501,-1.096
1978,Jul,26.287,82.85,180.474,-0.187
1979,Jul,26.352,83.498,173.774,-0.681
1980,Jul,26.68,84.057,149.984,-0.865
1981,Jul,26.464,83.645,152.14,-0.25
1982,Jul,26.555,78.717,82.459,-1.358
1983,Jul,26.668,83.928,200.524,-0.936
1984,Jul,26.033,86.226,259.349,-0.168
1985,Jul,25.945,84.098,180.89,0.297
1986,Jul,26.501,83.809,156.685,0.214
1987,Jul,26.824,84.55,145.907,-0.494
1988,Jul,26.794,84.062,202.836,-0.829
1989,Jul,26.841,82.502,194.759,-0.352
1990,Jul,26.401,83.619,161.152,0.647
1991,Jul,27.025,81.581,132.973,-1.031
1992,Jul,26.37,84.997,245.844,-0.257
1993,Jul,26.636,85.414,249.454,-0.144
1994,Jul,27.188,78.542,48.385,-1.58
1995,Jul,26.857,82.38,213.925,-0.796
1996,Jul,27.121,82.505,165.541,-0.405
1997,Jul,26.901,80.399,116.066,-1.65
1998,Jul,27.166,82.9,195.875,0.004
1999,Jul,26.663,82.273,199.641,0.005
2000,Jul,26.912,83.306,147.361,-0.426
2001,Jul,27.008,81.781,153.906,-0.476
2002,Jul,27.186,83.672,175.852,-0.605
2003,Jul,26.84,80.868,168.58,-0.953
2004,Jul,26.41,82.433,232.443,-0.411
2005,Jul,26.979,81.63,162.84,-0.273
2006,Jul,27.267,83.901,195.953,-0.795
2007,Jul,26.902,84.074,264.855,-0.343
2008,Jul,26.641,84.795,219.431,-1.189
2009,Jul,27.227,80.554,123.649,-0.633
2010,Jul,27.093,83.22,216.315,0.51
2011,Jul,27.404,81.823,115.91,-0.992
2012,Jul,26.952,82.382,197.641,-0.645
2013,Jul,27.225,81.403,156.217,0.174
2014,Jul,27.67,82.258,196.135,-0.504
2015,Jul,27.523,82.533,136.973,-1.334
2016,Jul,27.663,82.155,159.334,-0.216
2017,Jul,27.725,81.673,136.012,-0.408
2018,Jul,27.633,82.325,120.065,-0.77
2019,Jul,27.673,80.268,115.754,-1.459
2020,Jul,27.052,84.794,262.7,-0.618
2021,Jul,27.647,81.619,182.163,-0.432
2022,Jul,27.638,81.031,160.191,-0.562
1940,Aug,26.337,82.995,113.354,-1.595
1941,Aug,26.18,82.237,148.389,-1.85
1942,Aug,25.865,84.103,171.055,-0.583
1943,Aug,25.878,83.844,138.979,-0.787
1944,Aug,26.211,82.029,100.503,-1.179
1945,Aug,25.729,85.233,202.347,-0.483
1946,Aug,26.14,80.289,89.322,-1.364
1947,Aug,25.643,87.465,312.816,0.393
